PCNM3,PCNM4,PCNM7,PCNM48,PCNM5,PCNM10,PCNM15,TEMPSD,uniqueness
0.175000705,-0.125997441,0.017706968,0.003117476,-0.114090211,0.038158308,0.045210164,0.100850061,2.093584114
0.174713185,-0.126194376,0.017446016,-0.061320278,-0.11412595,0.038069349,0.044551337,0.28009629,0.034512434
-0.02134474,0.080553138,-0.007631778,-0.025618717,-0.051099998,0.026130342,0.096028591,1.143737209,-0.322919721
-0.021221289,0.080837946,-0.00796082,-0.059471563,-0.051367143,0.026003038,0.096900938,0.654883859,-0.023595676
-0.020842521,0.079729191,-0.000384447,0.066829193,-0.045676297,0.054109524,0.008355486,0.817834976,0.536929038
-0.020710587,0.080024379,-0.000817128,0.027713027,-0.045921794,0.054056544,0.008926316,0.817834976,0.393391616
-0.052385502,-0.173325106,-0.016459625,-0.004446788,0.151556242,0.011539871,-0.016435818,-2.32712158,-1.053338638
-0.052336044,-0.17330442,-0.016386071,0.001818456,0.151484992,0.011515105,-0.016082945,-2.32712158,-0.957209499
-0.067560794,-0.094678195,0.010655295,8.93E-05,0.106150743,0.090883037,-0.047271061,-1.805678006,0.567355349
-0.064517058,-0.080175192,0.036097275,0.00632432,0.088522915,0.066218663,0.017447024,-1.805678006,-0.068527387
-0.064551502,-0.080036459,0.036259139,-0.006313213,0.088442389,0.066261231,0.017389681,-1.805678006,-0.807662711
0.003554354,0.024586501,-0.021691217,-0.005513103,0.015716771,-0.00663213,0.063904895,-0.208757061,-2.626361334
0.020685151,0.006287975,0.096917499,-0.000433356,-0.004358223,0.07288452,0.028451176,0.850425199,0.822834034
0.003525277,0.024889126,-0.022089072,-0.001650864,0.0153413,-0.006785414,0.063952934,0.866720311,0.559344878
-0.008047579,0.055078896,-0.114865005,-0.053186957,0.023974599,-0.044714677,0.029263268,-0.241347284,-0.277380145
-0.053803687,0.009436255,-0.10945828,-0.012612172,0.037544193,-0.054627297,-0.087280605,-1.626431778,0.489590112
-0.055351654,0.003900175,-0.09468304,1.28E-06,0.045388591,-0.05453118,-0.035458996,-1.626431778,0.119012619
-0.053802336,0.009307226,-0.110002744,0.012615237,0.037732017,-0.054625762,-0.087263322,-1.626431778,-0.320728386
-0.058002629,-0.010982297,-0.087052574,-2.15E-06,0.059369703,-0.044399277,0.088781364,-1.626431778,1.832027032
-0.037919998,-0.169022679,0.012055299,-8.50E-06,0.132917416,0.035831834,0.229297501,-1.773087783,-1.046494856
-0.031607076,-0.163671124,0.018042997,-6.45E-06,0.121773161,0.039087697,0.207088774,-2.783384707,-0.200255532
-0.052253451,-0.173147023,-0.016061554,-0.003477309,0.151242228,0.011298122,-0.017126334,-0.730200635,0.563720814
-0.052168677,-0.173065784,-0.01598064,0.006045669,0.15108802,0.011236144,-0.016612913,-0.371708178,-1.065168151
0.032638476,0.091624798,0.084333199,-0.007195044,-0.105811782,-0.028568988,0.0032233,1.469639443,-0.178191066
0.02710495,0.099533098,0.066957912,0.007214661,-0.093221027,-0.064268263,0.137646626,1.094851874,0.507398878
0.039189894,0.104220758,0.066628685,3.87E-05,-0.126609265,-0.092563235,0.076015322,1.094851874,-0.111020478
0.012374665,0.104631287,0.042995453,7.69E-05,-0.04721918,-0.050074789,0.130021103,0.752654529,-0.056676409
-0.060789769,-0.057177373,0.049744786,1.16E-05,0.063934079,0.029088989,-0.041358531,0.67117897,-0.32062484
-0.062528253,-0.069776994,0.052390172,-0.000463399,0.075134928,0.039917283,0.055662133,0.18232562,-0.512425695
-0.05873244,-0.043984908,0.04800896,-4.65E-05,0.051609051,0.019180052,-0.148561018,0.345276737,-1.296895791
-0.048977181,-0.031186779,0.097923318,4.78E-05,0.032777342,0.051826737,-0.159811773,0.345276737,0.739836514
0.020630128,0.026045777,0.024069264,-0.021896364,-0.035767174,0.04315523,0.060136887,1.225212768,0.615792306
0.014726998,0.035950719,-0.044638297,-0.008022591,-0.04304004,0.000185893,-0.05596366,1.225212768,-0.392917431
0.17669992,0.048752182,0.054391416,-7.17E-05,-0.00560127,-0.073625664,-0.040542746,0.752654529,0.579177022
0.172238208,0.057443621,0.05567452,3.99E-05,-0.003358609,-0.07444171,-0.04986347,0.5734083,1.566819269
0.14706088,0.102054594,0.087141938,-6.25E-05,0.028245354,-0.065676894,0.070861696,0.5734083,-1.170676705
0.138866284,0.113309298,0.091233244,0.000105156,0.038494524,-0.068269814,0.085374311,0.166030508,-0.280783806
0.020369508,0.034511482,-0.007551924,0.00479742,-0.050237595,0.029208399,0.02578518,1.33927855,0.872985741
0.020386023,0.034596515,-0.007544213,0.017457473,-0.050593758,0.029149981,0.025910805,1.33927855,0.585424184
0.014808939,0.036342238,-0.044573277,0.008032875,-0.044650947,-3.98E-05,-0.055331078,1.33927855,0.501983068
0.024977386,0.046640318,-0.006162937,0.02838737,-0.056096469,0.020549164,0.04976648,1.062261651,1.66828979
-0.007327787,0.036944831,-0.047980148,0.014464016,0.052268864,-0.017559464,0.079142694,-0.078396167,-0.603265217
-0.008021417,0.054415068,-0.114456524,0.006577473,0.024720691,-0.044576549,0.028454961,-0.290232619,3.233766593
-0.00804317,0.054312961,-0.1144745,0.027584646,0.024846626,-0.044603202,0.028219807,-0.290232619,-1.207033646
-0.007622643,0.045723306,-0.082251658,0.021869796,0.038654755,-0.030544897,0.062966983,0.068259838,-0.371912329
-0.007305943,0.037034624,-0.047917096,-0.007260671,0.052147142,-0.017521333,0.079416312,-0.078396167,-0.187169674
0.008199262,-0.015588075,0.047258773,2.28E-05,0.064966994,0.105422999,-0.189137489,1.013376316,0.840629454
0.01442479,0.046757343,0.041787027,0.026913664,-0.04837587,-0.006130073,-0.037732816,1.062261651,0.364849254
0.022461697,0.048576083,0.042305997,-0.02696844,-0.055528704,0.029482287,-0.040455372,1.062261651,0.271694335
0.008712491,0.036599956,-0.076213646,0.004144542,-0.035663179,-0.026765268,-0.030518636,1.062261651,0.662693469
0.008566376,0.036842024,-0.076782025,0.000785608,-0.035301518,-0.026913809,-0.030608961,1.029671427,-0.177003114
0.008696449,0.035679574,-0.075800987,-0.019935632,-0.033298633,-0.02631488,-0.031438853,1.078556763,0.286490383
0.008422811,0.036519389,-0.077043748,-0.016060385,-0.033636017,-0.02680454,-0.031198704,-0.013215721,-1.99122003
0.012110511,0.027914611,-0.029056571,-4.95E-06,-0.02489136,-0.000515803,-0.038173004,1.078556763,0.019461122
-0.091765499,0.105945537,-0.001650384,0.008292976,0.019252621,0.0176035,0.006287499,0.328981625,-1.830976417
-0.082363895,0.110523003,0.007187906,7.15E-05,0.019626065,-0.002264651,-0.017624586,0.328981625,-1.54487391
-0.072891694,0.114269153,0.017350916,0.095592341,0.019334612,-0.023043447,-0.03734359,0.198620731,-0.109983574
-0.072973871,0.11424833,0.016954968,-0.100257273,0.019328833,-0.022654038,-0.037138426,0.068259838,-1.051804803
0.030996791,0.130446456,-0.063858371,0.048128151,0.115969589,-0.043339078,0.161261388,-0.713905523,-0.849434934
0.031286552,0.130467877,-0.064079855,-0.048008064,0.116070785,-0.04338344,0.161148232,-0.713905523,-0.614387642
0.070533701,0.115436765,-0.151933586,0.014556159,0.136273313,0.003841431,-0.123445258,-0.567249518,-0.127836421
0.070903713,0.115381788,-0.152248526,-0.014724652,0.136341164,0.003850144,-0.123183211,-0.567249518,-2.374095753
0.089744123,0.125301808,-0.08247487,0.024314283,0.116239463,0.05046189,-0.04138684,-0.844266417,0.462205496
0.090116366,0.124863664,-0.082554882,0.00063626,0.116048398,0.050480395,-0.040565953,-0.844266417,-1.099063375
0.090056158,0.124729585,-0.082851536,-0.024143004,0.116063533,0.050507324,-0.04053049,-0.844266417,-0.586945147
0.136974249,0.072184508,-0.050380163,5.78E-05,0.071103654,0.038925283,-0.080713101,-0.127281502,0.347003438
0.118561012,0.095993994,-0.072464067,-0.000126018,0.085298038,0.081159098,0.025305801,-0.713905523,0.978024784
-0.030362017,0.138492675,0.125731903,0.410148427,0.033120001,-0.027500354,-0.194372931,0.198620731,-0.164520285
-0.031028436,0.138143364,0.126078858,-0.422149337,0.032590465,-0.027683565,-0.195116249,0.198620731,-0.576974355
-0.030782021,0.138212049,0.126337755,0.013899024,0.032660457,-0.027789483,-0.194644424,0.08455495,-0.388796028
0.150437963,0.074960722,0.2112876,5.48E-06,-0.108995237,0.099484772,0.052821479,0.557113189,0.301186666
0.163513319,0.063906849,0.204116035,-1.85E-06,-0.123390188,0.077606617,0.118510102,0.736359417,-0.698475044
0.184179367,-0.038356199,-0.13808751,0.027681667,0.019753967,0.04145296,0.08753315,-0.192461949,-0.108199111
0.18435806,-0.038687379,-0.137602566,0.115851811,0.019302651,0.041506546,0.087646087,-0.062101056,-0.567982478
0.184191578,-0.039253471,-0.137602966,-0.146694838,0.018879023,0.041566115,0.086840075,0.003079391,-0.633420741
0.18094349,-0.058733556,-0.115895352,-0.005626688,-0.001627653,0.064674755,-0.063903843,-0.176166837,0.731283754
-0.099662686,0.086016741,-0.076694349,0.065003947,0.022571941,0.083184451,0.097277602,-0.453183736,-1.063228673
-0.099701437,0.085820449,-0.076768389,-0.065136477,0.02241027,0.08325705,0.097532716,-0.453183736,-2.004634288
-0.092206648,0.091351672,-0.085629741,0.000339982,0.029159398,0.093572633,0.058541045,-0.860561528,-1.096112191
-0.037280649,0.064569817,-0.068379205,5.95E-07,-0.013069636,0.012544486,-0.130400428,-1.023512645,-0.079626962
-0.03657543,0.060340894,-0.059045909,3.27E-06,-0.00301414,0.017034414,-0.155628192,-1.414595326,-0.04978223
-0.021302644,0.079717223,-0.004258402,-0.005834105,-0.044668071,0.053967256,0.005983492,-0.045805944,0.855538335
-0.021392762,0.079558186,-0.004305698,0.008140164,-0.044478751,0.053966658,0.00555755,-0.045805944,-1.139262907
-0.02993679,0.074706629,-0.038919146,0.026942375,-0.033523251,0.033243106,-0.050425589,-0.159871726,-0.459120846
-0.037731501,0.069150243,-0.074518454,-0.002045974,-0.023967021,0.006734927,-0.075323792,-0.159871726,-0.600834717
-0.021163287,0.079976423,-0.004449202,-0.036751809,-0.044933676,0.053925838,0.006604087,-0.045805944,-0.06648038
0.013731175,-0.068140335,0.070099259,0.014042182,0.121196099,0.013943634,0.017795847,-1.26793932,0.419868337
0.01375163,-0.067954425,0.069565598,0.010057134,0.121081517,0.013806007,0.017835972,-1.26793932,-0.084613346
0.013825638,-0.067271221,0.06769155,-0.007789436,0.120554762,0.013352065,0.017877539,-1.544956219,-0.718010644
0.013819502,-0.067417429,0.068153058,-0.005244288,0.120688171,0.013512342,0.017837985,-1.544956219,-0.026710617
0.011961016,-0.062327304,0.056103129,3.83E-06,0.119723076,0.017321804,-0.054808047,-1.398300214,1.109415881
0.010030911,-0.057427471,0.044044036,4.62E-06,0.118391599,0.020505778,-0.116174398,-1.756792671,0.259800147
0.013820676,-0.067785333,0.069527509,-0.00491996,0.120939337,0.014092753,0.017558628,-0.958332198,-0.749662129
0.013823468,-0.067820487,0.069705085,-0.006291381,0.120936729,0.014184245,0.017489156,-1.561251331,-0.496317585
0.102327481,-0.095827189,0.068432844,-6.11E-06,-0.207031746,0.026665854,-0.097524568,2.202919469,0.713355079
0.104013866,-0.084758167,0.072331777,0.077736778,-0.212386364,0.005880591,0.026747939,1.958492794,0.942370514
0.104357822,-0.085677858,0.080264642,-0.07755181,-0.206731473,0.033951878,-0.061494733,1.958492794,1.479879718
0.005177866,-0.128728083,0.225740361,2.94E-05,0.145198256,0.06084897,-0.099665068,1.306688326,1.546119515
0.004816576,-0.119861426,0.202697698,2.27E-06,0.157278853,0.048240736,0.03402343,1.013376316,0.799151599
0.006132775,-0.112648825,0.188234437,1.37E-06,0.155700168,0.051685317,0.074042905,1.013376316,0.944863247
0.004977723,0.049570671,0.1964552,-5.68E-05,-0.028087241,-0.017013733,-0.033143062,1.502229666,0.908767915
-0.003658067,0.048240857,0.209779302,1.49E-05,-0.028317105,-0.033610897,0.059175587,1.502229666,0.153480866
-0.128974098,-0.011588863,0.148262309,0.058257138,-0.085330606,-0.071278606,-0.135024558,0.231210955,1.440574782
-0.129085196,-0.011547293,0.148298629,-0.05874868,-0.0854177,-0.071198785,-0.13512153,0.231210955,1.479767213
-0.003639306,-0.079472776,-0.008134765,-0.000179825,0.014507304,-0.490145839,0.019083438,1.355573661,1.39441359
-0.007793189,-0.088716866,-0.036173369,-7.71E-05,0.005842515,-0.508871074,-0.004526384,1.355573661,0.705179623
-0.00363929,-0.079472528,-0.008134532,-0.000155999,0.014507285,-0.490140636,0.01908352,1.355573661,1.497444202
